Date,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
05-25,21.862,17.038,8.567,20.167,33.111,7.5,9.241,5.64,4.567,3.621,7.04,3.231,3.558,3.143,2.644,1.651,2.229,2.6,18.354,7.333
05-26,17.233,17.4,8.138,9.348,9.28,27.88,6.276,7.0,3.552,2.0,18.4,3.556,3.356,10.0,13.486,1.717,1.909,2.17,9.14,2.556
05-27,18.567,18.16,12.714,17.4,9.069,7.182,5.367,2.08,11.885,2.448,9.2,3.556,6.023,2.382,13.39,4.68,9.861,9.82,9.857,3.86
05-28,14.1,17.133,9.867,10.2,7.429,6.533,5.5,7.708,7.633,2.65,5.24,7.036,10.133,15.559,3.844,2.409,2.133,7.311,7.537,6.1
05-29,19.8,20.414,16.5,3.8,9.724,6.304,5.0,3.312,3.655,2.793,1.92,6.267,13.622,5.5,2.325,7.714,2.356,14.089,7.511,2.575
05-30,13.0,26.04,38.455,26.667,6.633,6.038,6.815,13.053,2.92,7.1,2.04,6.133,18.447,7.667,4.636,4.7,1.956,2.2,6.07,4.367
05-31,18.733,32.933,9.52,23.56,5.1,6.36,4.586,1.688,3.733,3.333,13.455,2.333,11.122,1.8,11.738,1.32,6.267,12.283,1.543,0.735
06-01,16.633,12.893,9.12,29.833,8.174,8.0,27.087,10.3,9.133,2.409,7.44,1.759,3.86,3.771,1.5,6.42,2.978,5.36,7.622,1.3
06-02,18.133,21.667,7.783,7.8,8.5,8.889,6.455,5.12,5.567,3.083,4.52,3.107,13.511,1.4,1.545,13.74,2.093,8.26,0.622,1.05
06-03,15.133,30.76,12.864,10.379,8.154,7.308,3.68,2.2,2.567,7.552,2.652,11.233,5.622,2.125,1.275,9.878,1.425,8.844,1.949,3.6
06-04,13.1,23.72,15.444,12.16,6.231,24.233,2.56,4.727,3.269,1.724,5.583,2.966,3.378,3.351,1.538,3.159,9.0,4.667,1.154,1.6
06-05,25.433,32.571,33.583,10.333,9.067,8.8,24.1,11.84,5.133,1.357,3.08,1.667,3.814,9.6,2.622,2.592,1.94,7.116,9.231,0.829
06-06,42.4,21.8,6.16,18.0,8.3,6.071,4.111,12.08,6.0,2.133,4.45,2.379,2.675,5.925,2.111,9.78,3.6,2.227,13.61,1.325
06-07,10.8,19.867,9.059,5.75,4.833,8.423,2.667,6.8,9.28,5.067,1.96,10.28,3.25,2.743,2.178,2.533,1.878,2.48,8.93,1.55
06-08,19.5,15.7,8.92,2.28,6.0,8.964,6.4,7.76,3.2,2.522,4.667,5.741,2.634,2.45,8.733,9.622,11.917,1.62,2.889,1.488
06-09,16.069,16.69,5.4,7.0,7.179,44.407,5.348,2.52,3.0,10.37,4.885,4.286,8.044,1.538,2.317,4.4,1.978,5.68,5.022,1.067
06-10,21.333,13.167,9.13,10.25,8.75,12.926,9.0,3.44,7.517,5.3,7.733,11.857,2.396,4.973,1.975,9.826,8.22,2.291,1.711,0.878
06-11,23.7,18.625,18.818,13.1,10.333,4.429,6.72,10.64,3.062,6.367,6.643,5.207,2.08,1.925,3.128,9.8,4.535,1.273,4.625,0.8
