,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
07-17,0.418,0.398,0.843,0.215,,,,,0.382,0.455,,,,0.925,0.428,,0.607,0.633,0.536,
07-18,0.768,0.449,0.706,0.498,,,,,1.097,0.630,,,,1.416,,,0.772,0.419,0.573,0.524
07-19,0.546,0.376,0.260,0.261,,,,0.616,0.724,0.392,,,,0.792,0.172,0.473,0.253,,0.728,0.319
07-20,,0.916,1.738,0.659,,,,1.481,,0.481,,,,0.161,0.327,0.414,0.085,0.484,0.331,0.557
07-21,,,0.485,0.520,,,,0.595,0.358,0.292,,,,0.399,0.257,,,0.812,0.255,0.284
07-22,,0.158,,0.492,,,,,,0.688,,,0.655,,0.256,,,0.904,0.353,0.341
07-23,,0.140,,1.027,,,,1.507,0.785,0.844,,,0.382,0.616,0.388,,0.223,,,0.477
07-24,,0.490,,,,,,1.662,1.313,0.499,,,0.483,0.453,0.184,,0.323,,0.316,0.322
07-25,,,0.932,0.762,,,,,0.802,0.757,,,1.245,0.506,0.701,,0.720,,,
07-26,,,0.586,,,,,,0.567,0.573,,,1.836,,0.353,0.393,0.768,0.735,,
07-27,,0.253,0.696,0.330,,,,1.381,0.939,,,,0.595,0.298,0.412,0.543,1.268,0.656,,0.322
07-28,,0.612,0.422,0.731,,,,,0.363,0.368,,,0.527,0.524,0.451,0.361,0.358,0.887,,0.207
07-29,,0.647,,1.245,,1.197,,,0.432,0.623,,,0.323,0.402,0.481,0.365,0.273,0.366,,0.364
07-30,,0.705,0.617,0.738,,0.371,,0.814,0.356,0.561,,,0.463,,0.442,0.359,0.422,0.372,,0.376
07-31,,1.568,0.445,1.071,,0.310,,1.405,0.355,0.479,,,0.622,0.478,0.390,0.462,,0.304,,0.591
08-01,,0.287,0.369,,,0.553,,0.715,1.028,0.741,,,0.369,0.368,0.318,0.381,0.577,0.621,,0.409
08-02,,0.613,,1.093,,,,0.619,0.398,0.659,,,0.934,0.460,0.350,0.608,1.033,0.916,,0.557
08-03,,1.580,0.256,0.483,,0.765,,0.467,0.585,0.576,,,0.649,0.452,0.267,0.506,0.578,0.293,,0.218
08-04,,1.696,0.484,0.665,,,,0.743,0.929,0.475,,,0.900,0.510,,1.053,,0.898,,0.567
08-05,,0.667,0.424,0.568,,,,0.539,0.884,0.643,,,0.543,0.400,0.973,0.452,,0.711,,0.538
