,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
05-26,264.02,279.69,265.505,265.235,,,260.02,270.88,271.51,,282.08,261.17,274.0,268.96,273.88
05-27,260.265,270.52,261.14,262.06,264.71,269.63,,273.16,263.19,275.785,278.9,258.48,280.68,272.24,265.95
05-28,,263.34,264.42,266.95,,265.35,268.51,280.33,269.12,272.86,285.22,266.84,266.35,,265.44
05-29,265.36,264.65,269.27,268.79,258.6,,266.56,,265.35,269.94,,,,275.76,264.76
05-30,269.65,268.37,265.16,270.52,264.34,273.26,266.15,285.38,270.21,268.8,280.365,,268.36,274.66,263.01
05-31,264.34,276.42,271.09,259.7,260.62,,267.91,,285.15,276.81,276.79,,260.22,278.99,
06-01,266.47,272.77,265.45,264.36,260.75,264.38,271.24,277.29,,276.01,283.22,,261.38,274.74,257.66
06-02,261.43,278.39,271.17,265.91,260.5,265.97,278.48,272.43,276.17499999999995,289.62,285.5,,263.26,281.46,269.99
06-03,269.33,260.61,,261.4,264.19,267.57,,270.27,280.79,269.0,277.14,,,276.87,260.68
06-04,270.0,260.47,270.09,272.355,267.28,274.28,271.08500000000004,275.27,272.42,,276.78,,262.3,279.08,
06-05,266.71000000000004,270.99,272.49,274.7,267.99,,264.86,,265.3,272.055,291.25,,271.69,279.11,255.98
06-06,266.08,269.78,275.62,268.96,265.35,272.97,270.4,277.245,268.91,,263.69,,260.82,,265.78
06-07,261.09,266.6,271.57,258.49,266.935,270.59,273.99,279.93,270.53,273.33,,,265.93,270.025,
06-08,262.78,268.90999999999997,270.42,263.46,,261.68,,271.23,,255.83,281.865,,264.82,268.2,264.63
06-09,268.99,276.49,265.23,258.68,260.43,,265.17,278.26,271.935,270.23,279.34,,261.99,267.98,
06-10,267.65,281.04,271.79,279.09,260.27,269.615,275.18,274.27,272.34,264.32,269.01,,,272.9,268.965
06-11,269.82,283.49,278.055,267.945,262.55,281.34,269.59,278.13,273.41,,276.05,,269.87,268.38,272.91
06-12,261.03,280.04,287.4,276.77,263.71,272.08,,270.4,283.08,266.885,,,,262.22,278.42
06-13,267.73,279.5,283.32,272.38,,276.12,272.53999999999996,277.31,289.58,269.67,273.9,,262.84,,279.83
06-14,267.43,278.76,271.75,279.03,262.02,288.09,,,264.8,267.35,,277.79,276.59,259.03,274.15
06-15,254.82,272.6,262.51,272.32,274.62,278.39,281.1,271.255,271.38,270.4,277.475,270.49,269.65,265.18,274.95
06-16,261.48,,261.71,278.2,277.84,,268.86,260.95,273.17,274.7,283.22,,270.73,269.06,
06-17,269.12,275.31,264.95,278.37,268.64,269.45500000000004,266.46,282.66,,273.5,281.64,270.51,,,275.48
06-18,265.71,272.0,263.48,271.97,258.7,275.89,262.38,278.32,282.58,280.88,279.96,280.54,277.55,275.32,281.14
06-19,269.59,274.72,269.37,275.83,269.05,276.13,,276.7,,273.85,278.66,282.06,,269.53,267.33
06-20,269.6,282.46,263.34,273.56,288.06,273.88,262.01,264.91,264.41,,282.63,257.19,274.41499999999996,277.08,276.69
06-21,260.945,285.33,274.78,,274.57,,250.23,,272.68,271.145,291.81,268.41,273.8,278.3,275.62
06-22,258.56,281.15,278.49,265.35,271.18,282.16,258.01,267.125,273.3,276.36,282.79,280.31,260.79,,270.52
06-23,263.85,288.59,279.67,266.13,275.145,281.94,263.3,278.13,267.12,267.05,,291.47,267.11,288.24,269.76
06-24,272.05,276.61,276.52,272.0,277.68,269.21,271.96,276.09,,266.11,287.23,264.73,274.65,289.41,271.74
06-25,269.04,278.56,267.76,270.29,265.35,,264.95,280.55,274.595,270.4,,262.5,266.47,280.9,
06-26,269.79,285.36,279.65,278.59,283.3,268.33,268.3,280.63,296.73,265.51,276.0,266.63,,279.18,271.9
06-27,258.97,274.24,266.575,277.32,283.09,,266.57,267.18,292.62,,286.59,274.73,270.86,284.51,271.8
06-28,258.78,276.39,273.99,285.97,282.01,275.0,,267.7,290.8,268.345,273.74,282.38,286.5,279.05,268.82
06-29,,268.31,274.3,281.78,,265.98,255.57,270.72,289.02,281.62,274.48,284.86,267.51,,287.76
06-30,260.67,279.2,281.99,279.89,270.145,273.28,250.11,,272.75,267.22,,287.82,,283.05,285.62
07-01,270.92,278.30999999999995,268.94,263.97,279.31,265.27,263.78,280.835,269.89,268.64,275.91499999999996,268.75,271.23,304.69,277.17
07-02,271.99,275.7,270.49,270.89,269.55,,259.7,,271.59,276.39,283.64,,268.9,289.3,
07-03,272.75,268.6,274.95,270.25,266.38,262.595,,280.92,,278.01,286.95,264.07500000000005,,287.77,268.56
07-04,255.62,265.18,264.025,265.79,269.25,269.68,270.75,272.78,270.495,279.06,283.91,284.2,280.45,290.89,290.93
07-05,259.54,274.81,,270.92,267.74,279.38,,285.9,294.76,274.19,292.06,273.81,,293.06,282.47
07-06,266.8,279.43,278.83,266.75,281.5,270.77,262.71500000000003,283.58,261.02,,283.11,282.32,275.2,295.07,
07-07,270.88,280.13,274.19,251.69,277.87,,257.9,,270.33,272.275,,289.1,297.99,290.51,282.85
07-08,270.47,272.65,281.2,260.81,281.92,265.67,260.15,279.0,275.1,,287.13,279.9,264.73,,280.04
07-09,273.2,295.59,274.95,255.93,277.46500000000003,273.96,263.63,281.46,281.29,270.83,,282.97,276.38,290.09000000000003,275.14
07-10,272.04,275.765,282.22,266.27,,273.57,272.42,284.82,,281.39,282.97,266.01,274.61,291.41,278.78
07-11,271.28,272.93,278.0,267.97,274.45,,258.87,283.24,285.81,310.16,270.21,264.78,269.19,295.26,
07-12,268.5,283.72,272.68,279.86,299.43,269.01,,293.04,304.07,282.8,270.96,264.96,,278.65,274.66499999999996
07-13,277.14,296.93,268.545,276.255,275.49,281.73,254.5,290.78,283.71,,281.0,,274.28,274.03,285.9
07-14,267.91999999999996,297.66,280.92,280.22,278.26,281.38,,303.4,292.71,282.625,295.18,269.68,285.01,267.8,276.6
07-15,272.1,271.55,274.83,275.08,,273.89,264.13,277.12,295.29,277.96,293.15,266.47,281.62,,282.78
07-16,270.84,276.05,270.28,279.78,278.885,279.98,,,301.44,270.89,,285.08,288.75,283.74,276.4
07-17,277.56,284.355,267.96,283.93,284.08,273.6,256.29,280.075,284.32,268.47,292.705,274.36,280.38,285.85,271.0
07-18,275.24,,265.01,281.88,280.02,,259.53,301.66,286.19,280.0,277.8,,274.09,284.11,
07-19,262.12,278.89,272.44,278.43,284.31,263.515,,288.64,,282.28,284.99,277.395,282.03,,277.91
07-20,267.8,272.11,270.555,256.56,276.35,273.01,260.21,277.58,283.15,285.03,290.33,279.2,269.58,282.41,285.09
07-21,264.27,267.26,279.96,282.07,284.09,265.23,,291.11,,282.83,283.54,265.29,,281.45,264.0
07-22,292.84,270.28,273.96,276.07,293.67,254.19,266.375,285.59,279.63,,274.14,271.21,274.33500000000004,281.31,289.1
07-23,268.15,268.18,282.84,,273.28,,276.09,,282.79,277.48,,280.89,282.58,278.4,276.1
07-24,253.95,261.31,285.89,271.4,271.52,257.93,268.21,278.69500000000005,282.34,282.61,277.3,275.03,273.04,,282.91
07-25,271.35,273.92,271.78,273.67,277.135,268.25,275.83,288.25,292.01,275.16,,,275.4,280.63,284.03
07-26,273.31,272.325,269.08,280.13,278.47,261.07,277.88,285.71,,279.32,281.82,275.62,279.21,289.31,285.68
07-27,270.44,282.18,267.97,273.19,275.76,,269.73,293.57,290.635,283.47,,277.95,265.51,276.65,
07-28,278.27,278.95,280.61,284.0,278.3,266.68,,281.88,298.19,291.34,286.59,264.09,,285.04,272.13
07-29,278.52,280.03,267.78,277.245,267.1,,266.12,283.93,288.4,,278.91,275.76,279.36,274.87,270.68
07-30,279.03499999999997,275.08,280.67,288.05,275.7,281.97,,290.01,289.22,278.345,,273.09,292.06,282.68,278.17
07-31,,267.51,272.28,276.1,,282.45,272.885,283.63,285.54,284.05,283.17,276.21,276.41,,281.9
08-01,279.31,278.92,274.34,274.99,272.34,279.01,267.79,,287.34,288.31,,286.94,,281.36,278.16
08-02,266.16,274.53999999999996,276.67,277.92,277.51,276.29,287.62,283.19500000000005,288.38,284.83,288.275,279.31,280.64,295.11,282.34
08-03,272.41,278.74,269.97,267.49,273.59,,263.66,,288.8,283.87,288.6,,287.76,278.19,
08-04,265.76,268.83,274.66,277.3,274.75,269.495,270.34,287.76,292.66,287.54,285.36,271.29499999999996,283.75,303.03,269.7
08-05,272.01,272.71,272.77,274.89,276.95,276.34,275.09,285.04,284.04,284.79,286.52,269.9,272.44,271.88,282.33
08-06,267.72,281.9,,280.31,273.45,267.89,,290.66,288.24,277.68,294.28,255.17,,268.15,277.19
08-07,273.69,277.52,264.17,274.425,281.8,264.94,269.68499999999995,290.73,292.07,,282.69,270.5,272.29,275.91,
08-08,265.485,284.64,271.61,279.93,271.55,,269.02,,288.9,272.36,282.53,278.74,270.01,286.99,277.79
08-09,270.11,273.91,274.72,275.0,272.49,269.02,268.0,262.04499999999996,291.36,,281.87,269.62,254.18,,273.37
08-10,277.97,285.44,279.59,283.39,265.645,272.86,269.59,261.2,273.51,279.86,,284.49,255.7,273.53999999999996,279.14
08-11,273.26,278.59000000000003,276.66,276.46,,277.97,281.74,269.47,,272.3,282.81,273.86,272.0,278.45,282.32
