Date,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
04-14,87.257,96.105,100.2,79.0,65.568,87.056,67.975,100.676,48.333,68.143,58.053,76.73,71.452,75.918,92.684,56.68,84.38,68.78,62.327,96.309
04-15,106.175,90.5,97.324,81.576,87.158,93.474,78.125,100.429,63.5,61.667,59.333,87.216,75.689,82.957,67.222,58.075,71.489,66.933,67.143,80.49
04-16,93.886,83.414,104.525,93.138,63.615,104.65,76.575,67.033,64.088,55.839,61.306,81.289,71.795,93.556,60.341,82.205,68.689,65.111,68.66,85.236
04-17,100.625,98.0,83.9,87.533,76.35,85.75,81.605,76.419,78.8,64.516,67.436,90.205,80.0,91.62,63.711,84.714,68.222,67.894,80.24,84.455
04-18,85.525,53.475,85.538,63.12,57.865,91.946,92.562,72.767,85.27,73.457,89.85,72.211,62.6,88.372,77.405,68.66,93.156,63.102,73.244,62.709
04-19,106.7,71.943,118.6,86.0,77.25,103.0,96.143,73.958,83.2,88.029,80.744,79.914,67.089,96.66,70.422,63.898,68.933,66.4,70.205,68.091
04-20,119.9,84.143,116.0,79.92,75.032,107.886,105.257,91.097,89.846,62.448,73.68,75.135,82.31,71.271,66.909,78.66,67.933,70.26,74.689,67.981
04-21,81.45,90.725,107.767,99.571,85.179,107.5,87.171,69.4,100.125,54.543,78.886,71.8,78.22,89.31,57.762,76.58,47.953,73.22,83.956,76.255
04-22,77.275,96.056,124.0,91.692,112.452,76.975,87.45,90.257,84.375,57.114,74.0,75.35,74.556,90.46,53.4,89.31,56.1,74.022,83.2,84.545
04-23,106.325,94.125,92.314,107.429,78.067,81.706,71.175,80.061,86.387,65.36,61.641,80.875,59.341,85.182,64.5,64.282,58.958,72.372,74.067,77.127
04-24,107.175,60.975,88.96,99.929,78.256,81.394,77.486,65.4,89.459,78.258,49.025,86.8,62.868,81.896,73.585,49.935,39.333,82.778,63.956,66.44
04-25,94.029,50.538,72.771,96.273,110.923,55.2,82.4,66.543,85.743,80.629,43.842,77.647,61.325,79.755,65.175,67.18,52.218,75.591,66.789,81.8
04-26,114.829,66.55,92.231,105.343,113.85,55.025,78.083,87.029,101.0,83.0,58.714,87.0,61.561,78.804,69.644,74.84,47.021,79.542,74.878,81.816
04-27,111.857,51.1,97.3,105.914,96.026,100.263,93.091,40.308,86.875,78.774,75.925,97.967,68.222,96.061,54.956,65.87,50.386,86.42,84.52,80.709
04-28,132.05,63.325,64.051,100.795,49.541,95.875,101.395,69.371,83.359,64.543,68.0,90.065,79.455,83.128,74.938,66.268,71.436,52.04,76.9,84.094
04-29,133.343,97.875,112.676,98.135,101.0,96.027,86.026,79.4,63.6,72.171,54.895,91.8,89.756,87.298,75.629,19.469,78.291,36.28,82.66,85.122
04-30,107.031,81.175,91.571,102.6,97.0,92.025,90.65,78.394,67.114,64.943,83.4,90.833,95.622,76.796,81.4,51.667,40.979,69.76,70.74,81.927
05-01,98.867,103.343,96.333,94.229,105.0,106.275,78.775,86.0,63.588,66.943,77.743,92.821,94.324,95.32,64.595,62.36,62.5,83.32,63.818,75.5
